Position Title,Date,Apply,Work Model,Location,Company,Company Size,Company Industry,Salary,Qualifications,H1b Sponsored,Is New Grad
Golf Course Grounds Maintenance,2025-06-21,https://jobright.ai/jobs/info/685796494231b1ec84a2797a?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Hobe Sound, FL",FirstService Residential,10000+,"Property Management,Real Estate",$18-$18 /hr,"1. Must have experience using handheld tools such as weed cutter, push lawn mower, hedge trimmer, edger, leaf vacuum, blower and others.
2. Must comply with OSHA and EPA guidelines concerning storage and use of chemical substances.
3. Strong customer service, communication and interpersonal skills required.
4. Ability to lift 50 lbs following appropriate safety procedures.
5. Work in an upright standing position for long periods of time.
...",not sure,
Deli Production Team Member,2025-06-21,https://jobright.ai/jobs/info/68574d69f064e3d2a1763f60?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Multi Location
Ellabell, GA
Haubstadt, IN",Pilot Flying J,10000+,"Oil and Gas,Travel",$11.54-$16.08 /hr,"1. Highly motivated self-starters
2. Ability to work as part of a team
3. Able to lift 50 pounds and walk/stand most of the day
4. Ability to work a flexible schedule of nights, days, weekends, and holidays",not sure,
Custom Framer,2025-06-21,https://jobright.ai/jobs/info/68574d69f064e3d2a1763f57?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Multi Location
Las Cruces, NM
Berlin, VT
Oklahoma City, OK
Battle Creek, MI
The Villages, FL
Atlanta, GA
Hickory, NC
Paramus, NJ
Davenport, FL
Castle Rock, CO
Cincinnati, OH
Hixson, TN
Conroe, TX
Fort Worth, TX
Indianapolis, IN
Lancaster, PA
Scottsdale, AZ
Fort Dodge, IA
Horsham, PA
Fort Collins, CO
Bridgeview, IL
Capitol Heights, MD
Deerfield Beach, FL
Seneca, SC
Gallup, NM
Gadsden, AL
Florence, KY
Holland, OH
Alexandria, LA
Pensacola, FL
Findlay, OH
Canton, MI
Alpharetta, GA
Lafayette, IN
Oshkosh, WI
Missoula, MT
Burlington, IA
Bluffton, SC",Hobby Lobby,10000+,Retail,$15-$16 /hr,"1. Be knowledgeable with Fine Arts
2. Have Experience in Custom Molding for Picture Framing
3. Have excellent Customer Service Skills
4. Have Merchandise Display experience
5. Possess Basic Computer Skills
...",not sure,
"Associate Editor, Quantum Science and Technologies",2025-06-21,https://jobright.ai/jobs/info/682d0a9b2aff285d0ed566c8?utm_source=1100&utm_campaign=Arts and Entertainment,Remote,United States,American Physical Society,501-1000,"Association,Communities",$81060-$110384 /yr,"1. A PhD is required, in Physics, Engineering, or Computer Science.
2. A minimum of one year of postdoctoral experience in quantum information science and technology.
3. Published in major journals within the scope of PRX Quantum.
4. Proven referee experience in the topical areas of PRX Quantum.
5. Excellent knowledge of the scientific literature in quantum information, existing research groups in the area of coverage, and acute awareness of current developments.
...",not sure,
"Production Associate, Fill/Pouch (6:30pm-6:30am)",2025-06-21,https://jobright.ai/jobs/info/6856f7117277a373a32f4fb0?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Marion, NC",Baxter International Inc.,10000+,"Biotechnology,Clinical Trials",$18.95-$18.95 /hr,"1. Must be at least 18 years of age
2. Possess or be able to obtain Inspector Certification
3. Basic English written and oral communication skills adequate to communicate with other team members
4. Understand verbal and written safety and quality instructions and read and comprehend written work instructions including words and drawings
5. Ability to perform basic mathematics
...",no,
"Apprentice Jeweler - Signet Jewelers - Hulen Mall - Fort Worth, TX",2025-06-21,https://jobright.ai/jobs/info/658eb3d13817dd64b1da697f?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Fort Worth, TX",Signet Jewelers,10000+,"E-Commerce Platforms,Jewelry",$15-$15 /hr,"1. Customer Service minded with strong interpersonal skills
2. High standard for quality work
3. Basic Computer Skills
4. Excellent Organizational Skills
5. Detail Orientated
...",not sure,
"Apprentice Jeweler - Signet Jewelers - The Loop West - Orlando, FL",2025-06-21,https://jobright.ai/jobs/info/658eb3d13817dd64b1da698b?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Kissimmee, FL",Signet Jewelers,10000+,"E-Commerce Platforms,Jewelry",$15-$15 /hr,"1. Customer Service minded with strong interpersonal skills
2. High standard for quality work
3. Basic Computer Skills
4. Excellent Organizational Skills
5. Detail Orientated
...",not sure,
Production Associate - Garment Hanger/Inspector,2025-06-21,https://jobright.ai/jobs/info/683a42c788c2ecf58d49e775?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Sacramento, CA",Cintas,10000+,"Compliance,Manufacturing",$16-$18 /hr,"1. Must be authorized to work in the US.
2. Must be 18 years of age or older.
3. Must adhere to attendance policy.
4. Must be willing to work in a safe proximity to other people for extended periods of time.
5. Must be willing to work in a fast-paced, schedule driven environment where there are time pressures to complete work quickly.
...",no,
Production Associate (Baker),2025-06-21,https://jobright.ai/jobs/info/68569f654b5ecfe620bf921a?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Baker City, OR",Marvin,5001-10000,Real Estate,$20-$21.50 /hr,"1. Learn to accurately read and use a calibrated tape measure.
2. Strong written and oral communication skills.
3. Excellent attendance and the ability to be on time.
4. Ability to work a physical job for 10 hours per day.",not sure,
Production Associate - Garment/Linen/Bulk Product Folder - $15.00/Hour,2025-06-21,https://jobright.ai/jobs/info/683a3e494191c35b468eede8?utm_source=1100&utm_campaign=Arts and Entertainment,On Site,"Madison Heights, MI",Cintas,10000+,"Compliance,Manufacturing",$15-$15 /hr,"1. Must be authorized to work in the US.
2. Must be 18 years of age or older.
3. Must adhere to attendance policy.
4. Must be willing to work in a safe proximity to other people for extended periods of time.
5. Must be willing to work in a fast-paced, schedule driven environment where there are time pressures to complete work quickly.
...",no,
