Position Title,Date,Apply,Work Model,Location,Company,Company Size,Company Industry,Salary,Qualifications,H1b Sponsored,Is New Grad
Postdoctoral Appointee — HPC & AI Interconnect,2025-06-12,https://jobright.ai/jobs/info/684b122f4084419ccd4263e2?utm_source=1100&utm_campaign=ml,On Site,"Lemont, IL",Argonne National Laboratory,1001-5000,"Energy,Security",$70758-$117925 /yr,"1. A recent PhD (completed within the last 5 years) in computer science, electrical engineering, or a related field.
2. Strong background in network interconnect design and optimization, with experience in adaptive routing and SDN technologies.
3. Proficiency in programming languages such as Python, C/C++, and experience with parallel computing frameworks.
4. Effective written and oral communication skills.
5. Ability to model Argonne’s Core Values: Impact, Safety, Respect, Integrity, and Teamwork.",not sure,
"AI Specialist, Biomedical Research",2025-06-12,https://jobright.ai/jobs/info/684b0df2b2026e55d27ff884?utm_source=1100&utm_campaign=ml,On Site,Cambridge (USA),Novartis,10000+,"Biotechnology,Health Care",$93800-$174200 /yr,"1. Postgraduate degree in Statistics, Physics, Computer Science, or Applied Mathematics
2. Experience executing and delivering AI driven projects
3. Excellent verbal and written communication skills to articulate complex AI concepts to non-technical stakeholders
4. Proficiency with algorithm development, deep neural network creation and evaluation, model deployment and evangelism
5. Identify problems where to apply AI solutions
...",not sure,
Software Engineer (All Levels),2025-06-12,https://jobright.ai/jobs/info/684b0943e5bad6b699efeb64?utm_source=1100&utm_campaign=ml,On Site,"Palo Alto, CA",CHAI: AI Platform,11-50,"Apps,Artificial Intelligence (AI)",$200K-$600K /yr,"1. Bachelor's degree
2. Experience with Python
3. Experience with Flutter
4. Experience with Dart
5. Experience with GCP
...",not sure,
Machine Learning Engineer (Junior & New Grad),2025-06-12,https://jobright.ai/jobs/info/684af5deec80741195bf770c?utm_source=1100&utm_campaign=ml,On Site,"Multi Location
Cupertino, CA
Palo Alto, CA
Milpitas, CA
San Jose, CA
Bellevue, WA
Redwood City, CA
Sunnyvale, CA",Jobright.ai,1-10,"Artificial Intelligence (AI),Employment",$125000-$168000 /yr,"1. Experience in one or more of the following areas: machine learning, recommendation systems, deep learning, feed, relevance and data mining.
2. Expert knowledge in Java or Scala
3. Experience with scripting languages such as Perl, Python, and shell scripts
4. MS degree in Computer Science or related quantitative field
5. Experience with machine learning frameworks such as TensorFlow, PyTorch or MxNet",not sure,yes
Associate Scientist Technical Expert,2025-06-12,https://jobright.ai/jobs/info/68114d6f88005c16732fef67?utm_source=1100&utm_campaign=ml,On Site,"Mason, OH",Procter & Gamble,10000+,"Beauty,Brand Marketing",$85K-$115K /yr,"1. Master / PhD degree in Computer Science, Math, Statistics, Physics, Electrical, Mechanical or Mechatronic Engineering, or similar technical disciplines with R&D work experience and passion for R&D work.
2. Extensive knowledge and hands-on experience in Data Science and Machine Learning methodologies, including but not limited to: Data curation and cleaning, Supervised, unsupervised, and reinforcement learning techniques, Mainstream neural network model architectures, Model training, evaluation, and deployment, Knowledge of building LLM pipelines and agents, Fine-tuning of large foundation models.
3. Experience in web or mobile app development, including: Web Application – Frontend/Backend/Progressive Web App, Android/iOS Applications.
4. Familiarity with cloud platforms, ideally Microsoft Azure; experience with other platforms such as AWS or Google Cloud is a plus.
5. Demonstrate collaborative approach to problem-solving, actively seeking diverse perspectives and embracing constructive feedback and constantly improving.
...",no,
"Applied Research - Artificial Intelligence - Associate (New York, NY)",2025-06-12,https://jobright.ai/jobs/info/682e2ab245932c3c9933be6a?utm_source=1100&utm_campaign=ml,On Site,"New York, NY",Goldman Sachs,10000+,"Banking,Finance",$115000-$180000 /yr,"1. A Master's or Ph.D. degree in Computer Science, Machine Learning, Mathematics, Statistics, Physics, Engineering, Quantitative Finance, or equivalent relevant industry experience.
2. A minimum of 1-3 years of AI/ML experience in the industry that demonstrates your expertise.
3. Extensive experience in software development for quantitative investment workflows in equities, fixed income, or multi-asset strategies.
4. Proficiency in contemporary programming languages like Python, C++, or Java.",not sure,
Software Engineer Graduate (Data Arch - AI/ML Infrastructure) - 2026 Start (PhD),2025-06-12,https://jobright.ai/jobs/info/684ab245ba9aa7cc29fbf953?utm_source=1100&utm_campaign=ml,On Site,"San Jose, CA",TikTok,10000+,"Content Creators,Content Discovery",$145K-$250K /yr,"1. PhD's degree (or expected by 2026) in Computer Science, Machine Learning, Artificial Intelligence, or related fields.
2. Research background in ML/AI, with a focus on inference optimization, model acceleration, or efficient ML systems.
3. Experience in programming, included but not limited to, the following programming languages: C, C++, Java or Python.
4. Problem-solving skills, self-driven learning mindset, and effective communication.",not sure,yes
Machine Learning Infra SWE,2025-06-11,https://jobright.ai/jobs/info/684a34017dddeb59e647f61f?utm_source=1100&utm_campaign=ml,On Site,"Redwood City, CA",Moloco,501-1000,"Advertising,Cloud Infrastructure",$167K-$251K /yr,"1. Proficiency in Python and SQL
2. Experience with Rust, C++, or Java
3. Strong CS fundamentals and core programming ability
4. Basic understanding of machine learning concepts, data processing, and statistics
5. Interest in building infrastructure and solving real-world ML/AI problems at scale
...",no,
"Applied Scientist I, Creative X - RAPID",2025-06-11,https://jobright.ai/jobs/info/684a443fbdf56f4ef1cda1cb?utm_source=1100&utm_campaign=ml,On Site,"New York, NY",Amazon,10000+,"Crowdsourcing,Delivery",$129K-$213K /yr,"1. Experience programming in Java, C++, Python or related language
2. Experience with SQL and an RDBMS (e.g., Oracle) or Data Warehouse",not sure,
Machine Learning Engineer (Junior & New Grad),2025-06-11,https://jobright.ai/jobs/info/67a554452dba4fdf5a92cf02?utm_source=1100&utm_campaign=ml,On Site,"Bellevue, Washington, United States",NewsBreak,101-250,"Advertising Platforms,Artificial Intelligence (AI)",$125000-$168000 /yr,"1. Experience in one or more of the following areas: machine learning, recommendation systems, deep learning, feed, relevance and data mining.
2. Expert knowledge in Java or Scala
3. Experience with scripting languages such as Perl, Python, and shell scripts
4. MS degree in Computer Science or related quantitative field
5. Experience with machine learning frameworks such as TensorFlow, PyTorch or MxNet",not sure,yes
AI Full Stack Engineer - Experienced Associate - Commercial Technology & Innovation,2025-06-11,https://jobright.ai/jobs/info/684a526a8f725aa31ce9fafc?utm_source=1100&utm_campaign=ml,On Site,"Multi Location
Miami, FL
Buffalo-Niagara Area
Dallas, TX
Atlanta, GA
Tampa, FL",PwC,10000+,"Accounting,Business Development",$75K-$118K /yr,"1. Bachelor's Degree
2. 1 year of experience",no,
"Backend Software Engineer, Conversational AI - USDS",2025-06-11,https://jobright.ai/jobs/info/6849ec90fdc8a5a6b7ef3e10?utm_source=1100&utm_campaign=ml,Hybrid,"Seattle, WA",TikTok,10000+,"Content Creators,Content Discovery",$138K-$238K /yr,"1. Bachelor's degree or above in Computer Science, Artificial Intelligence, Mathematics, or related fields.
2. Proficient in developing languages such as Python, Go, C++, or Java.
3. Minimum 1 year of experience with large-scale software development, especially in high-concurrency and high-availability systems.",no,
Machine Learning Infra SWE,2025-06-11,https://jobright.ai/jobs/info/6849e94d279f661871a72013?utm_source=1100&utm_campaign=ml,On Site,"Redwood City, California, United States",Moloco,501-1000,"Advertising,Cloud Infrastructure",$167200-$250800 /yr,"1. Proficiency in Python and SQL
2. Experience with Rust, C++, or Java
3. Strong CS fundamentals and core programming ability
4. Basic understanding of machine learning concepts, data processing, and statistics
5. Interest in building infrastructure and solving real-world ML/AI problems at scale
...",no,
"Applied Scientist I, Creative X - RAPID",2025-06-11,https://jobright.ai/jobs/info/6849e7b7152b21d9c3688a6d?utm_source=1100&utm_campaign=ml,On Site,"New York, New York, USA",Amazon,10000+,"Crowdsourcing,Delivery",$129400-$212800 /yr,"1. Experience programming in Java, C++, Python or related language
2. Experience with SQL and an RDBMS (e.g., Oracle) or Data Warehouse",not sure,
AI-Focused Design Researcher Chicago Hybrid,2025-06-11,https://jobright.ai/jobs/info/6849cdc866ff280ab360262b?utm_source=1100&utm_campaign=ml,Hybrid,"Chicago, IL",Motorola Solutions,10000+,"Cyber Security,Telecommunications",$64K-$128K /yr,"1. Bachelor's or Master's degree in UI/UX, HCI, Design, Research, Cognitive Science, Computer Science (with a focus on AI/HCI), or a related field, or equivalent practical experience.
2. Minimum 1 Year proven experience in user research and design
3. AI Literacy: A strong understanding of core Artificial Intelligence concepts, including Machine Learning (ML), Natural Language Processing (NLP), and Generative AI – their capabilities, limitations, and ethical considerations. You don't need to be an AI developer, but you must understand how these technologies work at a conceptual level.
4. Problem Solver: Excellent analytical and critical thinking skills, with a knack for identifying user needs and framing them as design or research challenges.
5. User-Centric Mindset: A deep passion for understanding and advocating for the user.
...",not sure,
"AIML - Machine Learning Engineer, Measurement",2025-06-11,https://jobright.ai/jobs/info/6849b3f20efc910627dff142?utm_source=1100&utm_campaign=ml,On Site,"Seattle, Washington, United States",Apple,10000+,"Artificial Intelligence (AI),Consumer Electronics",$135400-$250600 /yr,"1. Bachelor’s degree in Computer Science, Engineering, or a related field (or equivalent experience), and 1+ year(s) of professional experience building and maintaining python-based applications and tooling (web applications, scripts, REST APIs, databases).
2. Strong proficiency in Python, and experience building UI apps, scripts, or tools for using libraries such as Pandas, Streamlit, and Flask or Django. Experience with reading app logs or script logs and debugging code, as well as good coding quality practices and knowledge.
3. Hands-on experience building automated scripts and pipelines to process data from various sources (CSV, JSON, databases, APIs). Able to comfortably navigate Linux or macOS using command-line.
4. Hands-on experience using SQL databases (e.g. PostgreSQL, MySQL/MariaDB, SQLite) to create tables, create indexes and constraints, and writing and running queries.
5. Excellent problem-solving skills, strong communication, and ability to work collaboratively in a fast-paced environment.",not sure,
