Position Title,Date,Apply,Work Model,Location,Company,Company Size,Company Industry,Salary,Qualifications,H1b Sponsored,Is New Grad
Project Manager- Electrical Contractor,2025-03-09,https://jobright.ai/jobs/info/67ce0ee38b8eeb2fe06930d9?utm_source=1100&utm_campaign=pm,On Site,"Multi Location
Richmond, VA
Virginia Beach, VA
Raleigh, NC
Fairfax, VA",Cogent Analytics,101-250,"Analytics,Consulting",$90000-$120000 /yr,"1. Equivalent experience in the electrical industry may be considered.
2. 1 year in a project management or supervisory role.
3. Strong understanding of electrical systems, blueprints, and construction documents.
4. Familiarity with project management software (e.g., Procore, MS Project) and basic office software (e.g., MS Office Suite).
5. Excellent verbal and written communication skills.
...",not sure,
Project Coordinator (TUC- MMC),2025-03-09,https://jobright.ai/jobs/info/67ce0b2586e6f4db706427ba?utm_source=1100&utm_campaign=pm,On Site,"Los Angeles, CA","California State University, Long Beach",5001-10000,"Education,Higher Education",$25-$35 /hr,"1. Bachelor's Degree in Public Health (or equivalent, e.g. Master in Public Policy, Master in Public Administration, Master of Science in Nutrition); with experience in implementing public health projects in underserved communities.
2. Working knowledge of general practices, programs, and/or administrative specialties.
3. Ability and specialized skills to interpret, and apply a wide variety of policies and procedures.
4. Perform basic research and statistical analysis.
5. Analyze data and make accurate projections using business mathematics and basic statistics.
...",no,
IT Project Analyst - Entry Level,2025-03-09,https://jobright.ai/jobs/info/678574009a945a407bc0ead2?utm_source=1100&utm_campaign=pm,On Site,"New York, NY",Align,101-250,"Consulting,Information Technology",$55K-$80K /yr,"1. Bachelor's degree in business administration or an IT-related field required
2. Be hands-on and mechanically inclined to physically install IT Hardware, Security Devices and AV equipment
3. Be technically savvy to understand how to configure, integrate and troubleshoot these technology solutions
4. Have a outgoing personality and an interest in developing business development skills - be able to build rapport with clients and industry partners
5. Strong analytical skills and the ability to help with detailed analysis for negotiating, estimating and job costing
...",not sure,
Capital Projects Manager,2025-03-08,https://jobright.ai/jobs/info/67cd11734a816953366813f0?utm_source=1100&utm_campaign=pm,On Site,"Silver City, NM",Western New Mexico University,,,$45000-$45000 /yr,"1. Associates degree in Project Management or related field with 1 year of experience, or High School Diploma or GED plus 3 years in Project Management or related experience
2. Must have solid demonstrated knowledge of the project management function
3. Must be knowledgeable of University policies and procedures, lifecycle of projects and maintaining multiple projects at the same time
4. Must be sensitive to cultural differences within the University and community
5. Proficient in Microsoft Office Applications
...",not sure,
"Project Control Specialist - Q3C, Gas Operations",2025-03-08,https://jobright.ai/jobs/info/67afb2e0472c3779fb0e150f?utm_source=1100&utm_campaign=pm,On Site,"Little Canada, MN",Primoris Services Corporation,10000+,"Building Maintenance,Building Material",$60K-$65K /yr,"1. Bachelor's degree in construction management, accounting, or related field from accredited program. Experience may be considered in lieu of degree.
2. Minimum of 1-3 years of related professional experience.
3. Strong analytical and problem-solving skills.
4. Excellent written & verbal communication skills.
5. Excellent interpersonal skills.
...",not sure,
Program/Project Support Coordinator I,2025-03-08,https://jobright.ai/jobs/info/67940dae744ad27536ce6e3b?utm_source=1100&utm_campaign=pm,On Site,"Columbia, MO",University of Missouri-Columbia,10000+,Higher Education,$18-$26 /hr,1. A Bachelor's degree or an equivalent combination of education and experience and 1 year of experience from which comparable knowledge and skills can be acquired is necessary.,not sure,
Project Administrator,2025-03-08,https://jobright.ai/jobs/info/67904a91a91a9be1558a20b7?utm_source=1100&utm_campaign=pm,Hybrid,"Washington, DC",DLR Group,1001-5000,Architecture,$60K-$80K /yr,"1. High School Diploma or equivalent
2. Knowledge of A/E construction phase processes and contractual responsibilities
3. Proficiency in task organization, completion tracking, and prioritization
4. Excellent written and spoken communication skills",not sure,
TEMP Correspondence Management Analyst I,2025-03-08,https://jobright.ai/jobs/info/67cc35a49d48be9db26dd60d?utm_source=1100&utm_campaign=pm,On Site,"Washington, DC",CGI,10000+,"Analytics,Application Performance Management",$23.86-$23.86 /hr,"1. US Citizenship is required.
2. High School Diploma
3. 1-3 years of experience in correspondence or related field
4. Must be able to successfully obtain a DOJ Public Trust
5. Successfully pass a CGI Federal background investigation including education, criminal, employment, and a credit check for delinquent debts.",no,
Project Coordinator - Land,2025-03-08,https://jobright.ai/jobs/info/67af9306686dec09800c5c16?utm_source=1100&utm_campaign=pm,On Site,"Minnetonka, MN",Westwood Professional Services,501-1000,"Civil Engineering,Mechanical Engineering",$22-$30 /hr,"1. Ability to communicate effectively with employees at all levels.
2. Handle confidential and non-routine information.
3. Proficient in Microsoft office products, Vantagepoint, and Smartsheet.
4. Adapt to ever changing work environments.
5. Detail orientated and very organized.
...",not sure,
"Professional Services Project Manager, Associate",2025-03-07,https://jobright.ai/jobs/info/67cbf25a512694baa8200349?utm_source=1100&utm_campaign=pm,Hybrid,United States,Epicor,5001-10000,"CRM,Retail",$40000-$100000 /yr,"1. Strong organizational, project management and time management skills.
2. Customer centric, results oriented, self-starter and able to work independently.
3. Excellent communication, interpersonal and presentation skills both written and verbal.
4. Manages expectations and establishes solid working relationships through the management level.
5. Familiar with remote work environments and capable of working in a virtual office environment.
...",no,yes
