Text,Link
 Software Engineering,https://airtable.com/embed/appjDG7vmPOm1pO7S/shr763VHjlzPBDCgN
 Data Analyst,https://airtable.com/embed/appZ5SmkwkcW7Xd8C/shr51y9s2uIRlkvI8
 Business Analyst,https://airtable.com/embed/appK8wuhdzqC2KtWr/shrlXw5IPUECgZH9Q
 Accounting and Finance,https://airtable.com/embed/app3hKGPjx4m3n8uy/shrxflLkiF1ljjPgZ
 Machine Learning and AI,https://airtable.com/embed/appoxNzAIRReFCzZV/shrmDBF1vNPtzNjzl
 Consulting,https://airtable.com/embed/appk3hzdIFG7MVEqq/shr7BAtGeCN125QYK
 Marketing,https://airtable.com/embed/appcUz4GkJoWzTX3C/shrlp6fQzQ5mD68nC
 Project Manager,https://airtable.com/embed/appKHKHFeCVewSlMF/shrPAr81oEpL5lxdU/tbl5cmivxye21lTJw
 Product Management,https://airtable.com/embed/appYvVTjJYHpq712D/shrpI5GFPocw2qcre
 Arts and Entertainment,https://airtable.com/embed/appxsdozleC9iaktr/shrtavKK7PhghGUt5
 Legal and Compliance,https://airtable.com/embed/appFU12UKGbt1gs95/shrVVTUffhqFK98J1
 Education and Training,https://airtable.com/embed/appPYy0RX5fDsEhZm/shrYLlad4LNZEicQd
 Creatives and Design,https://airtable.com/embed/app7O2uKT9GTvMx9J/shrWEq2l15qeODGG3
 Human Resources,https://airtable.com/embed/appTYQlu4ffssFoAb/shrsYDrGPeDnGrxGV
 Public Sector and Government,https://airtable.com/embed/appiWXTAqaqpTtSNU/shrXSxPPxauONDsnq
 Management and Executive,https://airtable.com/embed/appFa3PBhYWICqdV9/shrkuNa5I9zuPNlA1
 Data Engineer,https://airtable.com/embed/appqYfRGKpLQ8UsdH/shrFnvW20reJCEkYZ
